'P26NickelV15um','P27CrackDepthV20um','P44TN','P51NickelR','P52XYPlaneL22um','P57DisplacementYComponentum','P36SIFSK2MaximumMPaum05',P66SIFSK1MaximumMPaum05'
9.134633908,3.342408826,53.87737798,320.9104,2529.646012,168.6082359,-10.7178703,750.2123779
9.148956274,3.198431435,54.94766955,319.0579575,2603.042489,168.2497663,-4.130437445,736.9088587
9.158076039,2.680338928,29.44484445,274.9012499,1695.342896,144.4614723,-17.63202479,751.8652455
9.158076039,2.746170193,29.44484445,274.9012499,1695.342896,144.4614723,-18.95656956,751.3364447
9.185488697,4.920358962,39.2630054,315.7904,2197.284496,163.8419067,-2.580726863,741.6633098
9.210166967,3.523150834,24.91551526,278.2942589,1757.795914,158.2185442,-9.626203414,745.6512123
9.2221,4.679354529,41.65515576,320.2933146,1980.161628,145.943892,-5.33138932,757.8950216
9.314827727,2.040625671,61.79818947,314.0705041,2646.761028,165.7617585,-6.360368264,748.8860711
9.398972759,9.464171296,34.45276158,338.7862839,2081.012816,161.6076723,-12.71976185,741.2748044
9.452894413,4.891188441,42.62023449,308.1889052,2307.799011,169.5752123,-18.2162061,748.4766665
9.4921,3.4148625,57.13663724,314.7664,2604.614775,165.5407391,-6.926271194,738.6898168
9.552265995,2.125908271,35.39266032,272.5302301,1794.067501,141.6090157,-10.93028749,755.8977548
9.577519387,9.464171296,34.45276158,338.7780456,2081.012816,161.6076723,-7.06532384,746.6308016
9.595013942,3.949386259,57.13663724,314.7664,2573.707524,165.5240495,-16.57650017,743.6072739
9.694481862,4.329519867,23.30995614,275.2140517,1705.15788,153.5729555,-5.844020445,744.8891208
9.71098449,2.528497666,29.35143775,262.16574,1723.750149,143.9565048,-11.50403975,745.6264959
9.767690215,3.981489247,25.3549421,276.0064866,1736.426944,154.0663527,-6.887956267,755.3650883
9.789829463,2.2016649,65.89790651,314.4948156,2440.432342,142.5735492,12.0637226,738.3890639
9.81637974,9.842375262,28.79918868,328.629,1912.728176,151.2348279,4.31430579,734.220613
9.857244445,4.3313003,20.87370968,270.8142255,1686.694432,154.2066352,5.743271041,735.9415984
9.90753297,6.620733991,18.47990342,282.8417098,1789.8031,168.395702,-0.499403833,731.4297212
9.963780415,3.247617373,59.14167285,311.9512782,2464.01646,157.3664954,-5.059151815,760.7820619
10.015,5.87788655,52.46095492,324.9463502,2499.678534,164.4091387,0.128001245,748.7000669
10.015,5.87788655,52.46095492,324.9463502,2499.678534,164.4091387,0.128001245,748.7000669
10.02423971,5.887261869,51.91647882,324.9463502,2498.663372,165.2017484,1.185088539,749.7937449
10.02423971,5.887261869,51.92133249,324.9463502,2498.663372,165.2888536,0.946413772,750.0796372
10.02423971,5.887261869,51.91647882,324.9463502,2498.663372,165.2017484,1.185088539,749.7937449
10.02423971,5.887261869,51.92133249,324.9463502,2498.663372,165.2888536,0.946413772,750.0796372
