n,e,T,S
13.93222633,3.442462913,5.99,248611735.6
13.95167092,3.256658093,5.97,248623836.3
13.97216773,2.986246038,5.96,248638687.7
13.99370281,2.793322787,5.96,248656491.8
14.01166911,2.737568875,5.96,248672994.2
14.03503821,2.828890631,5.95,248696608.8
14.05940704,2.823801744,5.96,248723719
14.08476207,2.999955536,5.95,248754509.5
14.1110899,3.303773915,5.94,248789160.4
14.13837729,3.548801833,5.94,248827846.2
14.16661115,3.687992706,5.94,248870736
14.18987101,3.785344418,5.93,248908184.8
14.21977607,3.912829361,5.92,248959049.7
14.25059186,4.099602638,5.93,249014561.4
14.28230599,4.314444791,5.92,249074866.3
14.31490625,4.316324405,5.92,249140104.8
14.34838066,4.440638132,5.92,249210410.6
14.38271744,4.579947033,5.92,249285910.8
14.41080001,4.713545507,5.91,249350132.1
14.44666018,4.821104153,5.92,249435281
14.48335104,4.966467137,5.92,249525944.1
14.52086178,5.127674059,5.92,249622222.1
14.55918183,5.359892282,5.92,249724208.8
14.59830092,5.355047532,5.93,249831990.6
14.63820904,5.400915357,5.94,249945646.5
14.67069713,5.408810343,5.93,250040849
14.71200131,5.149999077,5.94,250165253.9
14.75406816,4.952226427,5.93,250295714.5
14.79688889,5.06744605,5.94,250432281.3
14.84045502,5.274625826,5.94,250574997.1
14.88475843,5.549607076,5.94,250723896.9
14.92979134,5.793298968,5.94,250879008
14.96633792,5.872786758,5.94,251007582.4
15.01266553,5.975498591,5.94,251173917.4
15.05970284,6.188321538,5.94,251346498.3
15.10744354,6.518568042,5.94,251525322.4
15.15588168,6.727586871,5.94,251710379
15.20501174,7.112249533,5.95,251901649.5
15.25482862,7.460909828,5.95,252099107.2
15.30532764,7.728359721,5.95,252302717.5
15.34621515,7.935522312,5.96,252470007.2
15.39793167,8.125533398,5.96,252684579.2
15.45031964,8.008041302,5.96,252905163.8
15.50337609,7.915198018,5.96,253131695.8
15.55709855,7.78528952,5.97,253364101.6
15.61148505,7.796808447,5.97,253602299.9
15.66653409,7.971478696,5.97,253846200.9
15.71104968,8.266316171,5.97,254045362.3
15.76728916,8.812339192,5.97,254299276.5
15.82418975,9.377019185,5.98,254558599.2
15.88175191,9.855454175,5.98,254823209.9
15.93997669,10.42697177,5.98,255092980
15.99886565,10.94746532,5.98,255367772.7
16.05842095,11.27096513,5.99,255647443.2
16.10654676,11.55492042,5.98,255874589.1
16.16730869,11.73202794,5.99,256162648.6
16.22874602,11.9425305,5.99,256455137.1
16.29086314,12.43918432,5.99,256751879
16.353665,12.71272177,5.99,257052690.7
16.41715721,12.61228337,5.99,257357380.3
16.48134598,13.15087944,5.98,257665748.1
16.53320312,14.07642325,0.18,257914951.4
16.59866344,15.22466922,0.16,258229411.2
16.66484118,15.98000786,0.1,258546947.4
16.73174502,16.06702444,-0.03,258867330.2
16.79938436,16.39603817,-0.02,259190321.6
16.86776923,16.57468464,-0.02,259515676
16.9369104,15.22561742,-0.02,259843139.8
16.99277555,14.84971442,-0.02,260106454.5
17.06330739,14.786229,-0.02,260437052.1
17.1346294,15.15230623,-0.02,260769008.5
17.20675506,16.09435282,-0.03,261102041.2
